Time,stamp.secs,stamp.nsecs,left,right
1609131271.829852,1609131271,828845024,0.0,0.0
1609131271.9231303,1609131271,920890092,0.0,0.0
1609131272.0190082,1609131272,18554925,0.0,0.0
1609131272.1257296,1609131272,123346090,0.0,0.0
1609131272.2257566,1609131272,223571062,0.0,0.0
1609131272.3081641,1609131272,305602073,0.0,0.0
1609131272.411828,1609131272,410880088,0.0,0.0
1609131272.5158064,1609131272,513591051,0.0,0.0
1609131272.602548,1609131272,600531101,0.0,0.0
1609131272.707123,1609131272,705213069,0.0,0.0
1609131272.8181338,1609131272,815922975,0.0,0.0
1609131272.9167657,1609131272,914187908,0.0,0.0
1609131273.009184,1609131273,8654117,0.0,0.0
1609131273.1090045,1609131273,107209920,0.0,0.0
1609131273.21146,1609131273,206840991,0.0,0.0
1609131273.3145986,1609131273,313199043,0.0,0.0
1609131273.415399,1609131273,414371013,0.0,0.0
1609131273.5167735,1609131273,514734029,0.0,0.0
1609131273.613553,1609131273,612200975,0.0,0.0
1609131273.7103014,1609131273,709774971,0.0,0.0
1609131273.8099766,1609131273,809504032,0.0,0.0
1609131273.9086525,1609131273,907601118,0.0,0.0
1609131274.01024,1609131274,9244918,0.0,0.0
1609131274.111957,1609131274,110141992,0.0,0.0
1609131274.2106783,1609131274,207818031,0.0,0.0
1609131274.3084428,1609131274,307971000,0.0,0.0
1609131274.4134412,1609131274,412139892,0.0,0.0
1609131274.5093486,1609131274,507544040,0.0,0.0
1609131274.6049085,1609131274,602861881,0.0,0.0
1609131274.7078495,1609131274,707273960,0.0,0.0
1609131274.8077486,1609131274,805895090,0.0,0.0
1609131274.912303,1609131274,910332918,0.0,0.0
1609131275.0037866,1609131275,3221035,0.0,0.0
1609131275.1112585,1609131275,109244108,0.0,0.0
1609131275.2189798,1609131275,217685937,0.0,0.0
1609131275.3097727,1609131275,308749914,0.0,0.0
1609131275.408127,1609131275,407063961,0.0,0.0
1609131275.51706,1609131275,514491081,0.0,0.0
1609131275.607915,1609131275,606471061,0.0,0.0
1609131275.7071307,1609131275,705264091,0.0,0.0
1609131275.8051705,1609131275,804240942,0.0,0.0
1609131275.9129043,1609131275,909564018,0.0,0.0
1609131276.0150723,1609131276,13895988,0.0,0.0
1609131276.1145039,1609131276,112934112,0.0,0.0
1609131276.2129889,1609131276,212424993,0.0,0.0
1609131276.3158598,1609131276,314352989,0.0,0.0
1609131276.4160328,1609131276,413814067,0.0,0.0
1609131276.518043,1609131276,515681028,0.0,0.0
1609131276.6168838,1609131276,615902900,0.0,0.0
1609131276.7097743,1609131276,708389997,0.0,0.0
1609131276.8051255,1609131276,803280115,0.0,0.0
1609131276.9019468,1609131276,900973081,0.0,0.0
1609131277.0096352,1609131277,8694887,0.0,0.0
1609131277.1149402,1609131277,113922119,0.0,0.0
1609131277.2068834,1609131277,206423044,0.0,0.0
1609131277.3085058,1609131277,307094097,0.0,0.0
1609131277.4146702,1609131277,409795999,0.0,0.0
1609131277.5148623,1609131277,512722969,0.0,0.0
1609131277.6116636,1609131277,610171079,-3.0,1.0
1609131277.7094917,1609131277,707329988,-3.0,1.0
1609131277.8064325,1609131277,804444074,-3.0,1.0
1609131277.9005837,1609131277,898864984,-6.0,4.0
1609131278.0065897,1609131278,4667043,-6.0,4.0
1609131278.1084886,1609131278,107304096,-6.0,3.0
1609131278.2068832,1609131278,205322027,-6.0,3.0
1609131278.3184252,1609131278,317353010,-6.0,3.0
1609131278.4200346,1609131278,419064044,-6.0,4.0
1609131278.5156984,1609131278,513500928,-6.0,4.0
1609131278.6130393,1609131278,611989021,-6.0,4.0
1609131278.718087,1609131278,715780019,-6.0,4.0
1609131278.8208766,1609131278,818367004,-6.0,4.0
1609131278.9230485,1609131278,920897006,-7.0,4.0
1609131279.0122323,1609131279,10416984,-7.0,4.0
1609131279.1092758,1609131279,107670068,-6.0,4.0
1609131279.2108085,1609131279,203569889,-6.0,4.0
1609131279.2968838,1609131279,295073032,-6.0,4.0
1609131279.4073262,1609131279,405761003,-6.0,4.0
1609131279.5087337,1609131279,507571935,-6.0,4.0
1609131279.6073644,1609131279,606240987,-6.0,4.0
1609131279.7058039,1609131279,703324079,-7.0,4.0
1609131279.801822,1609131279,800753116,-7.0,4.0
1609131279.9102688,1609131279,909284114,-7.0,4.0
1609131280.0106776,1609131280,9206056,-7.0,4.0
1609131280.1159663,1609131280,114608049,-7.0,4.0
1609131280.2091897,1609131280,206410884,-7.0,4.0
1609131280.3021896,1609131280,300854921,-7.0,4.0
1609131280.396262,1609131280,395771026,-6.0,4.0
1609131280.5099995,1609131280,509027004,-6.0,4.0
1609131280.604796,1609131280,604232072,-6.0,4.0
1609131280.7078488,1609131280,707314014,-6.0,4.0
1609131280.8163083,1609131280,815795898,-6.0,4.0
1609131280.9121902,1609131280,911725044,-7.0,4.0
1609131281.0084019,1609131281,6680011,-7.0,4.0
1609131281.112347,1609131281,110306024,-7.0,4.0
1609131281.213857,1609131281,211574077,-8.0,3.0
1609131281.3051796,1609131281,303567886,-8.0,3.0
1609131281.407885,1609131281,406980991,-8.0,3.0
1609131281.516093,1609131281,513911008,-7.0,4.0
1609131281.6075444,1609131281,607031106,-7.0,4.0
1609131281.7114584,1609131281,710069894,-6.0,4.0
1609131281.811281,1609131281,810053110,-6.0,4.0
1609131281.9092126,1609131281,907066106,-6.0,4.0
1609131282.01414,1609131282,12279033,-7.0,4.0
1609131282.1138444,1609131282,112752914,-7.0,4.0
1609131282.2218916,1609131282,219746112,-6.0,4.0
1609131282.3252597,1609131282,323441982,-6.0,4.0
1609131282.4278293,1609131282,426080942,-6.0,4.0
1609131282.5283265,1609131282,525969028,-7.0,4.0
1609131282.6330004,1609131282,631782054,-7.0,4.0
1609131282.7277205,1609131282,726001977,-7.0,4.0
1609131282.8217971,1609131282,819165945,-7.0,0.0
1609131282.9165514,1609131282,915785074,-7.0,0.0
1609131283.0163252,1609131283,13967990,0.0,0.0
1609131283.1220112,1609131283,120553016,0.0,0.0
1609131283.2257183,1609131283,222125053,0.0,0.0
1609131283.3213544,1609131283,320071935,0.0,0.0
1609131283.4161987,1609131283,414783954,0.0,0.0
1609131283.516834,1609131283,515640974,0.0,0.0
1609131283.6165817,1609131283,612473964,0.0,0.0
1609131283.700239,1609131283,699103116,0.0,0.0
1609131283.8089187,1609131283,807111024,0.0,0.0
1609131283.9118946,1609131283,910136938,0.0,0.0
1609131284.0110486,1609131284,9119987,0.0,0.0
1609131284.105455,1609131284,103827953,0.0,0.0
1609131284.213745,1609131284,213254928,0.0,0.0
1609131284.3174844,1609131284,316442966,0.0,0.0
1609131284.404374,1609131284,403179883,0.0,0.0
1609131284.510975,1609131284,509126901,0.0,0.0
1609131284.6105092,1609131284,608437061,0.0,0.0
1609131284.7065454,1609131284,705554008,0.0,0.0
1609131284.8169303,1609131284,816009998,0.0,0.0
1609131284.912209,1609131284,911030054,0.0,0.0
1609131285.0140152,1609131285,12481927,0.0,0.0
1609131285.114961,1609131285,112482070,0.0,0.0
1609131285.20822,1609131285,206872940,0.0,0.0
1609131285.3127055,1609131285,310741901,0.0,0.0
1609131285.4180133,1609131285,416671037,0.0,0.0
1609131285.5155447,1609131285,514031887,0.0,0.0
1609131285.6179097,1609131285,616846084,0.0,0.0
1609131285.715209,1609131285,714715003,0.0,0.0
1609131285.813725,1609131285,812416076,0.0,0.0
1609131285.9102468,1609131285,908915042,0.0,0.0
1609131286.0127485,1609131286,11825084,0.0,0.0
1609131286.1082604,1609131286,107717037,0.0,0.0
1609131286.2126734,1609131286,212188005,0.0,0.0
1609131286.311213,1609131286,310154914,0.0,0.0
1609131286.4123595,1609131286,410240888,0.0,0.0
1609131286.511817,1609131286,509960889,0.0,0.0
1609131286.6080153,1609131286,606187105,0.0,0.0
1609131286.7014818,1609131286,699649095,0.0,0.0
1609131286.8143687,1609131286,812300920,0.0,0.0
1609131286.9036872,1609131286,901897907,0.0,0.0
1609131287.005404,1609131287,3603935,0.0,0.0
1609131287.110196,1609131287,108568906,0.0,0.0
1609131287.2186043,1609131287,211667060,0.0,0.0
1609131287.317364,1609131287,316014051,0.0,0.0
1609131287.4157002,1609131287,413461923,0.0,0.0
1609131287.5153835,1609131287,514291048,0.0,0.0
1609131287.6119614,1609131287,610848903,0.0,0.0
1609131287.707065,1609131287,705399990,0.0,0.0
1609131287.8114629,1609131287,809195995,0.0,0.0
1609131287.9156501,1609131287,914558887,0.0,0.0
1609131288.0143776,1609131288,13926982,0.0,0.0
1609131288.1173627,1609131288,112093925,0.0,0.0
1609131288.2140388,1609131288,212362051,0.0,0.0
1609131288.3242395,1609131288,321461915,0.0,0.0
1609131288.4258516,1609131288,423226118,0.0,0.0
1609131288.52455,1609131288,523828029,0.0,0.0
1609131288.615979,1609131288,614872932,0.0,0.0
1609131288.711775,1609131288,710135936,-3.0,2.0
1609131288.8138578,1609131288,812263011,-3.0,2.0
1609131288.912848,1609131288,912324905,-6.0,4.0
1609131289.00697,1609131289,5697965,-6.0,4.0
1609131289.1069148,1609131289,105552911,-6.0,4.0
1609131289.2074163,1609131289,205472946,-7.0,3.0
1609131289.309984,1609131289,308094024,-7.0,3.0
1609131289.4067528,1609131289,404822111,-6.0,3.0
1609131289.5069296,1609131289,505387067,-6.0,4.0
1609131289.6068602,1609131289,605436086,-6.0,4.0
1609131289.7065654,1609131289,705302000,-6.0,3.0
1609131289.8181646,1609131289,816699981,-6.0,3.0
1609131289.9198177,1609131289,918518066,-6.0,3.0
1609131290.0133164,1609131290,11337995,-6.0,3.0
1609131290.1120353,1609131290,111016035,-6.0,3.0
1609131290.2135525,1609131290,211829900,-6.0,4.0
1609131290.308711,1609131290,306727886,-6.0,4.0
1609131290.4103644,1609131290,408895969,-6.0,4.0
1609131290.507842,1609131290,506536006,-6.0,4.0
1609131290.612473,1609131290,611299037,-6.0,4.0
1609131290.7133727,1609131290,711730003,-6.0,4.0
1609131290.8126037,1609131290,811166048,-6.0,3.0
1609131290.9082568,1609131290,906653881,-6.0,3.0
1609131291.0123806,1609131291,11224031,-6.0,4.0
1609131291.1112301,1609131291,109270095,-6.0,4.0
1609131291.2088068,1609131291,206834077,-6.0,4.0
1609131291.3099306,1609131291,309123039,-7.0,4.0
1609131291.408505,1609131291,406563043,-7.0,4.0
1609131291.5106242,1609131291,509845018,0.0,0.0
1609131291.61234,1609131291,610217094,0.0,0.0
1609131291.7013981,1609131291,699985027,0.0,0.0
1609131291.8071742,1609131291,806370973,0.0,0.0
1609131291.9075878,1609131291,907047033,0.0,0.0
1609131292.011129,1609131292,6810903,0.0,0.0
1609131292.1139205,1609131292,112915992,0.0,0.0
1609131292.2187676,1609131292,215415000,0.0,0.0
1609131292.3197916,1609131292,318325042,0.0,0.0
1609131292.416968,1609131292,415895938,0.0,0.0
1609131292.5094538,1609131292,507415056,0.0,0.0
1609131292.611076,1609131292,610640048,0.0,0.0
1609131292.7140958,1609131292,713128089,0.0,0.0
1609131292.8165247,1609131292,814106941,0.0,0.0
1609131292.9046347,1609131292,902703046,0.0,0.0
1609131293.008572,1609131293,8105039,0.0,0.0
1609131293.1148572,1609131293,111556053,0.0,0.0
1609131293.2132263,1609131293,211464881,0.0,0.0
1609131293.3083594,1609131293,306606054,0.0,0.0
1609131293.407659,1609131293,406213045,0.0,0.0
1609131293.5129254,1609131293,511925935,0.0,0.0
1609131293.6109376,1609131293,610368967,0.0,0.0
1609131293.7003417,1609131293,699860095,0.0,0.0
